product_id,Overall Rating,Description Word Count
7202262,5,494
7545845,4,488
SKU: #101191,5,446
7330262,4,432
SKU: #7219392,5,426
SKU: #7605321,5,407
SKU: #7824542,5,396
7248789,4,394
SKU: #7719622,5,380
7755792,5,371
7460247,5,363
104730,5,360
SKU: #7605321,5,352
7434702,5,348
7542747,5,346
7626619,4,345
7248789,5,330
7166071,4,328
7755818,5,327
7675942,5,325
7543121,4,320
7438340,4,318
7244112,4,316
7600107,5,312
7255074,5,312
7443522,5,311
SKU: #7575550,5,310
7289976,2,310
104730,3,308
SKU: #7553765,5,307
7899457,4,306
SKU: #7388112,4,304
104730,5,301
SKU: #7528008,5,294
SKU: #7598804,5,294
SKU: #7598804,5,294
SKU: #7598804,5,294
7439111,3,293
118955,5,292
7294835,5,292
7542747,4,292
7642029,5,291
SKU: #7648534,5,290
7202262,5,290
7542747,5,289
SKU: #7545107,4,288
SKU: #7547806,5,286
7542747,5,284
SKU: #7696628,5,283
7626619,5,283
7632972,5,283
7334545,4,280
7386618,5,278
7644151,2,278
7280540,5,275
7630065,5,274
SKU: #7749078,1,274
7644151,4,272
7277727,3,272
SKU: #7620366,5,269
SKU: #7553186,4,269
SKU: #7553186,4,269
SKU: #7568868,4,269
SKU: #7762169,5,268
7631594,2,268
SKU: #7343998,5,267
7656060,4,265
SKU: #7689104,5,264
7248789,5,263
7335596,5,261
7467000,5,260
7166071,5,260
SKU: #7792122,5,258
SKU: #7773554,2,257
7644151,1,257
7467000,5,256
7600107,4,255
SKU: #7416799,5,253
SKU: #7528130,5,252
SKU: #7528130,5,252
SKU: #7294254,5,252
SKU: #7294254,5,252
7626619,4,252
7899457,1,251
7294254,5,250
7439111,4,249
SKU: #7582594,4,249
7294835,5,245
104730,4,245
7166071,5,243
109117,5,242
SKU: #7648607,5,241
SKU: #7494944,5,241
SKU: #7687758,5,240
7310667,5,240
SKU: #7605033,1,240
SKU: #7343998,5,239
SKU: #7174444,5,239
SKU: #7545845,5,238
7255074,5,238
7547806,5,237
7166071,5,237
7784869,4,237
SKU: #7755818,3,237
SKU: #7667981,5,236
7547806,5,236
SKU: #7667981,5,236
SKU: #118955,5,236
7655266,4,236
104730,5,235
7294835,5,235
7460247,5,235
7460247,5,235
7166071,2,235
SKU: #7433601,5,234
104730,5,234
SKU: #7547806,5,233
7630065,5,233
SKU: #7680191,5,233
7543121,3,233
7542747,5,232
104730,5,232
7289975,4,232
7386618,3,232
7644151,5,231
SKU: #7594511,4,231
SKU: #7855548,5,230
7149932,5,230
SKU: #7648111,5,228
SKU: #7313845,5,228
SKU: #7642004,4,228
7655266,5,227
SKU: #7792053,5,227
7192722,4,227
SKU: #7658441,5,226
7616338,5,226
7130301,1,226
7655277,5,225
7330262,5,225
7630065,5,225
SKU: #7655373,4,225
SKU: #7553765,5,224
7289976,5,224
7460247,5,224
7600107,1,223
7600107,1,223
7600107,1,223
7644151,5,222
7330262,4,222
SKU: #7656109,4,222
7642029,5,221
7610153,5,221
SKU: #101191,5,220
7610153,5,220
SKU: #7757016,5,220
7609984,5,220
7626619,4,220
SKU: #7553055,5,219
7294254,5,219
7642029,5,218
7201307,5,218
7460247,5,218
7255074,5,218
7626619,4,218
7166071,2,218
7772641,4,217
SKU: #7376689,4,217
104730,5,216
SKU: #7752985,5,216
SKU: #7752985,5,216
